timestamp,company,gold_type,buy_price,sell_price,location
2025-01-21 15:50:07,SJC,SJC Jewelry 24K,85100000.0,86600000.0,National
2025-01-21 15:50:07,SJC,SJC Ring 1C,85200000.0,86900000.0,National
2025-01-21 15:50:07,SJC,SJC Jewelry 99%,83242574.2574,85742574.2574,National
2025-01-22 14:30:06,SJC,SJC 1L,86200000.0,88200000.0,National
2025-01-22 14:30:06,SJC,SJC Jewelry 18K,62706555.6555,65706555.6555,National
2025-01-22 14:30:06,SJC,SJC Jewelry 24K,85900000.0,87400000.0,National
2025-01-22 14:30:06,SJC,SJC Jewelry 99%,84034653.4653,86534653.4653,National
2025-01-22 14:30:06,SJC,SJC Ring 1C,86000000.0,87700000.0,National
2025-01-23 16:50:06,SJC,SJC 1L,86100000.0,88100000.0,National
2025-01-23 16:50:06,SJC,SJC Jewelry 18K,62781563.1563,65781563.1563,National
2025-01-23 16:50:06,SJC,SJC Jewelry 24K,86000000.0,87500000.0,National
2025-01-23 16:50:06,SJC,SJC Jewelry 99%,84133663.3663,86633663.3663,National
2025-01-23 16:50:06,SJC,SJC Ring 1C,86100000.0,87800000.0,National
2025-01-24 15:40:06,SJC,SJC 1L,86800000.0,88800000.0,National
2025-01-24 15:40:06,SJC,SJC Ring 1C,86300000.0,88000000.0,National
2025-01-24 15:40:06,SJC,SJC Jewelry 18K,62931578.1578,65931578.1578,National
2025-01-24 15:40:06,SJC,SJC Jewelry 99%,84331683.1683,86831683.1683,National
2025-01-24 15:40:06,SJC,SJC Jewelry 24K,86200000.0,87700000.0,National
2025-02-03 15:40:06,SJC,SJC 1L,87800000.0,89800000.0,National
2025-02-03 15:40:06,SJC,SJC Jewelry 18K,63906675.6675,66906675.6675,National
2025-02-03 15:40:06,SJC,SJC Jewelry 24K,87500000.0,89000000.0,National
2025-02-03 15:40:06,SJC,SJC Jewelry 99%,85618811.8811,88118811.8811,National
2025-02-03 15:40:06,SJC,SJC Ring 1C,87500000.0,89200000.0,National
2025-02-04 16:40:06,SJC,SJC Jewelry 24K,87600000.0,89400000.0,National
2025-02-04 16:40:06,SJC,SJC 1L,87600000.0,90100000.0,National
2025-02-04 16:40:06,SJC,SJC Jewelry 99%,86014851.4851,88514851.4851,National
2025-02-04 16:40:06,SJC,SJC Ring 1C,87600000.0,89600000.0,National
2025-02-04 16:40:06,SJC,SJC Jewelry 18K,64206705.6705,67206705.6705,National
2025-02-05 08:30:06,SJC,SJC Jewelry 24K,88000000.0,90300000.0,National
2025-02-05 08:30:06,SJC,SJC Jewelry 99%,86905940.594,89405940.594,National
2025-02-05 08:30:06,SJC,SJC 1L,88000000.0,91000000.0,National
2025-02-05 08:30:06,SJC,SJC Jewelry 18K,64881773.1773,67881773.1773,National
2025-02-05 08:30:06,SJC,SJC Ring 1C,88000000.0,90500000.0,National
2025-02-06 15:50:06,SJC,SJC 1L,86400000.0,89600000.0,National
2025-02-06 15:50:06,SJC,SJC Jewelry 24K,86300000.0,89100000.0,National
2025-02-06 15:50:06,SJC,SJC Jewelry 99%,85217821.7821,88217821.7821,National
2025-02-06 15:50:06,SJC,SJC Jewelry 18K,63981683.1683,66981683.1683,National
2025-02-06 15:50:06,SJC,SJC Ring 1C,86400000.0,89400000.0,National
2025-02-07 09:50:06,SJC,SJC 1L,86800000.0,90300000.0,National
2025-02-07 09:50:06,SJC,SJC Jewelry 18K,64206705.6705,67206705.6705,National
2025-02-07 09:50:06,SJC,SJC Jewelry 24K,86700000.0,89400000.0,National
2025-02-07 09:50:06,SJC,SJC Jewelry 99%,85514851.4851,88514851.4851,National
2025-02-07 09:50:06,SJC,SJC Ring 1C,86800000.0,89800000.0,National
2025-02-10 16:10:06,SJC,SJC 1L,88300000.0,91300000.0,National
2025-02-10 16:10:06,SJC,SJC Jewelry 18K,64881773.1773,67881773.1773,National
2025-02-10 16:10:06,SJC,SJC Jewelry 24K,88000000.0,90300000.0,National
2025-02-10 16:10:06,SJC,SJC Jewelry 99%,86405940.594,89405940.594,National
2025-02-10 16:10:06,SJC,SJC Ring 1C,88000000.0,90700000.0,National
2025-02-11 16:50:06,SJC,SJC 1L,88000000.0,90500000.0,National
2025-02-11 16:50:06,SJC,SJC Ring 1C,88000000.0,90500000.0,National
2025-02-11 16:50:06,SJC,SJC Jewelry 18K,64731758.1758,67731758.1758,National
2025-02-11 16:50:06,SJC,SJC Jewelry 99%,86207920.792,89207920.792,National
2025-02-11 16:50:06,SJC,SJC Jewelry 24K,88000000.0,90100000.0,National
2025-02-12 08:50:06,SJC,SJC 1L,86700000.0,90200000.0,National
2025-02-12 08:50:06,SJC,SJC Jewelry 18K,64131698.1698,67131698.1698,National
2025-02-12 08:50:06,SJC,SJC Jewelry 24K,86700000.0,89300000.0,National
2025-02-12 08:50:06,SJC,SJC Jewelry 99%,85415841.5841,88415841.5841,National
2025-02-12 08:50:06,SJC,SJC Ring 1C,86700000.0,89700000.0,National
2025-02-13 10:50:06,SJC,SJC Jewelry 18K,64731758.1758,67731758.1758,National
2025-02-13 10:50:06,SJC,SJC 1L,87700000.0,90700000.0,National
2025-02-13 10:50:06,SJC,SJC Jewelry 24K,87700000.0,90100000.0,National
2025-02-13 10:50:06,SJC,SJC Ring 1C,87700000.0,90500000.0,National
2025-02-13 10:50:06,SJC,SJC Jewelry 99%,86207920.792,89207920.792,National
2025-02-14 08:30:06,SJC,SJC 1L,88300000.0,91300000.0,National
2025-02-14 08:30:06,SJC,SJC Jewelry 18K,65181803.1803,68181803.1803,National
2025-02-14 08:30:06,SJC,SJC Jewelry 24K,88300000.0,90700000.0,National
2025-02-14 08:30:06,SJC,SJC Jewelry 99%,86801980.198,89801980.198,National
2025-02-14 08:30:06,SJC,SJC Ring 1C,88300000.0,91100000.0,National
2025-02-15 08:30:06,SJC,SJC 1L,87300000.0,90300000.0,National
2025-02-15 08:30:06,SJC,SJC Jewelry 18K,64431728.1728,67431728.1728,National
2025-02-15 08:30:06,SJC,SJC Jewelry 24K,87300000.0,89700000.0,National
2025-02-15 08:30:06,SJC,SJC Jewelry 99%,85811881.1881,88811881.1881,National
2025-02-15 08:30:06,SJC,SJC Ring 1C,87300000.0,90100000.0,National
2025-02-17 08:50:06,SJC,SJC 1L,87600000.0,90600000.0,National
2025-02-17 08:50:06,SJC,SJC Jewelry 18K,64656750.675,67656750.675,National
2025-02-17 08:50:06,SJC,SJC Jewelry 24K,87600000.0,90000000.0,National
2025-02-17 08:50:06,SJC,SJC Jewelry 99%,86108910.891,89108910.891,National
2025-02-17 08:50:06,SJC,SJC Ring 1C,87600000.0,90400000.0,National
2025-02-18 11:30:06,SJC,SJC 1L,88600000.0,91100000.0,National
2025-02-18 11:30:06,SJC,SJC Jewelry 18K,65031788.1788,68031788.1788,National
2025-02-18 11:30:06,SJC,SJC Jewelry 24K,88600000.0,90500000.0,National
2025-02-18 11:30:06,SJC,SJC Jewelry 99%,86603960.396,89603960.396,National
2025-02-18 11:30:06,SJC,SJC Ring 1C,88600000.0,90900000.0,National
2025-02-19 13:40:06,SJC,SJC 1L,89600000.0,91900000.0,National
2025-02-19 13:40:06,SJC,SJC Jewelry 18K,65706855.6855,68706855.6855,National
2025-02-19 13:40:06,SJC,SJC Jewelry 24K,89600000.0,91400000.0,National
2025-02-19 13:40:06,SJC,SJC Jewelry 99%,87495049.5049,90495049.5049,National
2025-02-19 13:40:06,SJC,SJC Ring 1C,89600000.0,91700000.0,National
2025-02-20 15:10:06,SJC,SJC Jewelry 24K,89900000.0,91700000.0,National
2025-02-20 15:10:06,SJC,SJC Jewelry 18K,65931878.1878,68931878.1878,National
2025-02-20 15:10:06,SJC,SJC Ring 1C,89900000.0,92000000.0,National
2025-02-20 15:10:06,SJC,SJC Jewelry 99%,87792079.2079,90792079.2079,National
2025-02-20 15:10:06,SJC,SJC 1L,90000000.0,92300000.0,National
2025-02-21 15:30:06,SJC,SJC 1L,89400000.0,91700000.0,National
2025-02-21 15:30:06,SJC,SJC Jewelry 18K,65481833.1833,68481833.1833,National
2025-02-21 15:30:06,SJC,SJC Jewelry 24K,89300000.0,91100000.0,National
2025-02-21 15:30:06,SJC,SJC Jewelry 99%,87198019.8019,90198019.8019,National
2025-02-21 15:30:06,SJC,SJC Ring 1C,89300000.0,91400000.0,National
2025-02-24 11:00:06,SJC,SJC 1L,89700000.0,92000000.0,National
2025-02-24 11:00:06,SJC,SJC Jewelry 18K,65781863.1863,68781863.1863,National
2025-02-24 11:00:06,SJC,SJC Jewelry 24K,89700000.0,91500000.0,National
2025-02-24 11:00:06,SJC,SJC Jewelry 99%,87594059.4059,90594059.4059,National
2025-02-24 11:00:06,SJC,SJC Ring 1C,89700000.0,91800000.0,National
2025-02-25 11:20:06,SJC,SJC Jewelry 18K,65781863.1863,68781863.1863,National
2025-02-25 11:20:06,SJC,SJC 1L,89700000.0,92000000.0,National
2025-02-25 11:20:06,SJC,SJC Jewelry 24K,89700000.0,91500000.0,National
2025-02-25 11:20:06,SJC,SJC Ring 1C,89700000.0,91800000.0,National
2025-02-25 11:20:06,SJC,SJC Jewelry 99%,87594059.4059,90594059.4059,National
2025-02-26 13:50:06,SJC,SJC 1L,89000000.0,91300000.0,National
2025-02-26 13:50:06,SJC,SJC Jewelry 18K,65256810.681,68256810.681,National
2025-02-26 13:50:06,SJC,SJC Jewelry 24K,89000000.0,90800000.0,National
2025-02-26 13:50:06,SJC,SJC Jewelry 99%,86900990.099,89900990.099,National
2025-02-26 13:50:06,SJC,SJC Ring 1C,89000000.0,91100000.0,National
2025-02-27 10:20:06,SJC,SJC 1L,88900000.0,91200000.0,National
2025-02-27 10:20:06,SJC,SJC Jewelry 18K,65181803.1803,68181803.1803,National
2025-02-27 10:20:06,SJC,SJC Jewelry 24K,88900000.0,90700000.0,National
2025-02-27 10:20:06,SJC,SJC Jewelry 99%,86801980.198,89801980.198,National
2025-02-27 10:20:06,SJC,SJC Ring 1C,88900000.0,91000000.0,National
2025-02-28 11:30:06,SJC,SJC 1L,88500000.0,90500000.0,National
2025-02-28 11:30:06,SJC,SJC Jewelry 18K,64731758.1758,67731758.1758,National
2025-02-28 11:30:06,SJC,SJC Jewelry 24K,88500000.0,90100000.0,National
2025-02-28 11:30:06,SJC,SJC Jewelry 99%,86207920.792,89207920.792,National
2025-02-28 11:30:06,SJC,SJC Ring 1C,88500000.0,90400000.0,National
2025-03-01 08:50:06,SJC,SJC Jewelry 24K,88500000.0,90100000.0,National
2025-03-01 08:50:06,SJC,SJC Jewelry 18K,64731758.1758,67731758.1758,National
2025-03-01 08:50:06,SJC,SJC Ring 1C,88500000.0,90400000.0,National
2025-03-01 08:50:06,SJC,SJC Jewelry 99%,86207920.792,89207920.792,National
2025-03-01 08:50:06,SJC,SJC 1L,88500000.0,90500000.0,National
2025-03-03 08:40:07,SJC,SJC 1L,89000000.0,91000000.0,National
2025-03-03 08:40:07,SJC,SJC Jewelry 18K,65106795.6795,68106795.6795,National
2025-03-03 08:40:07,SJC,SJC Jewelry 24K,89000000.0,90600000.0,National
2025-03-03 08:40:07,SJC,SJC Jewelry 99%,86702970.297,89702970.297,National
2025-03-03 08:40:07,SJC,SJC Ring 1C,89000000.0,90900000.0,National
2025-03-04 17:00:06,SJC,SJC 1L,90700000.0,92700000.0,National
2025-03-04 17:00:06,SJC,SJC Jewelry 18K,66381923.1923,69381923.1923,National
2025-03-04 17:00:06,SJC,SJC Jewelry 24K,90700000.0,92300000.0,National
2025-03-04 17:00:06,SJC,SJC Jewelry 99%,88386138.6138,91386138.6138,National
2025-03-04 17:00:06,SJC,SJC Ring 1C,90700000.0,92600000.0,National
2025-03-06 16:00:06,SJC,SJC Jewelry 24K,90700000.0,92300000.0,National
2025-03-06 16:00:06,SJC,SJC 1L,90700000.0,92700000.0,National
2025-03-06 16:00:06,SJC,SJC Jewelry 99%,88386138.6138,91386138.6138,National
2025-03-06 16:00:06,SJC,SJC Ring 1C,90700000.0,92600000.0,National
2025-03-06 16:00:06,SJC,SJC Jewelry 18K,66381923.1923,69381923.1923,National
2025-03-07 16:30:06,SJC,SJC 1L,91100000.0,93100000.0,National
2025-03-07 16:30:06,SJC,SJC Jewelry 18K,66681953.1953,69681953.1953,National
2025-03-07 16:30:06,SJC,SJC Jewelry 24K,91100000.0,92700000.0,National
2025-03-07 16:30:06,SJC,SJC Jewelry 99%,88782178.2178,91782178.2178,National
2025-03-07 16:30:06,SJC,SJC Ring 1C,91100000.0,93000000.0,National
2025-03-08 08:30:06,SJC,SJC 1L,90900000.0,92900000.0,National
2025-03-08 08:30:06,SJC,SJC Jewelry 18K,66531938.1938,69531938.1938,National
2025-03-08 08:30:06,SJC,SJC Jewelry 24K,90900000.0,92500000.0,National
2025-03-08 08:30:06,SJC,SJC Jewelry 99%,88584158.4158,91584158.4158,National
2025-03-08 08:30:06,SJC,SJC Ring 1C,90900000.0,92800000.0,National
2025-03-10 15:40:06,SJC,SJC 1L,90900000.0,92900000.0,National
2025-03-10 15:40:06,SJC,SJC Jewelry 24K,90900000.0,92500000.0,National
2025-03-10 15:40:06,SJC,SJC Ring 1C,90900000.0,92800000.0,National
2025-03-10 15:40:06,SJC,SJC Jewelry 99%,88584158.4158,91584158.4158,National
2025-03-10 15:40:06,SJC,SJC Jewelry 18K,66531938.1938,69531938.1938,National
2025-03-11 16:30:06,SJC,SJC 1L,91000000.0,93000000.0,National
2025-03-11 16:30:06,SJC,SJC Jewelry 18K,66606945.6945,69606945.6945,National
2025-03-11 16:30:06,SJC,SJC Jewelry 24K,91000000.0,92600000.0,National
2025-03-11 16:30:06,SJC,SJC Jewelry 99%,88683168.3168,91683168.3168,National
2025-03-11 16:30:06,SJC,SJC Ring 1C,91000000.0,92900000.0,National
2025-03-12 13:30:05,SJC,SJC Jewelry 99%,89178217.8217,92178217.8217,National
2025-03-12 13:30:05,SJC,SJC Ring 1C,91800000.0,93400000.0,National
2025-03-12 13:30:05,SJC,SJC 1L,91800000.0,93500000.0,National
2025-03-12 13:30:05,SJC,SJC Jewelry 18K,66981983.1983,69981983.1983,National
2025-03-12 13:30:05,SJC,SJC Jewelry 24K,91800000.0,93100000.0,National
2025-03-13 10:20:05,SJC,SJC 1L,92900000.0,94400000.0,National
2025-03-13 10:20:05,SJC,SJC Jewelry 18K,67657050.705,70657050.705,National
2025-03-13 10:20:05,SJC,SJC Jewelry 24K,92800000.0,94000000.0,National
2025-03-13 10:20:05,SJC,SJC Jewelry 99%,90069306.9306,93069306.9306,National
2025-03-13 10:20:05,SJC,SJC Ring 1C,92800000.0,94300000.0,National
2025-03-14 11:20:05,SJC,SJC 1L,94300000.0,95800000.0,National
2025-03-14 11:20:05,SJC,SJC Jewelry 24K,94200000.0,95400000.0,National
2025-03-14 11:20:05,SJC,SJC Jewelry 99%,91455445.5445,94455445.5445,National
2025-03-14 11:20:05,SJC,SJC Jewelry 18K,68707155.7155,71707155.7155,National
2025-03-14 11:20:05,SJC,SJC Ring 1C,94200000.0,95700000.0,National
2025-03-17 08:30:05,SJC,SJC 1L,94800000.0,96100000.0,National
2025-03-17 08:30:05,SJC,SJC Jewelry 18K,68932178.2178,71932178.2178,National
2025-03-17 08:30:05,SJC,SJC Jewelry 24K,94700000.0,95700000.0,National
2025-03-17 08:30:05,SJC,SJC Jewelry 99%,91752475.2475,94752475.2475,National
2025-03-17 08:30:05,SJC,SJC Ring 1C,94700000.0,96000000.0,National
2025-03-18 15:40:05,SJC,SJC 1L,96700000.0,98200000.0,National
2025-03-18 15:40:05,SJC,SJC Jewelry 18K,70507335.7335,73507335.7335,National
2025-03-18 15:40:05,SJC,SJC Jewelry 24K,96600000.0,97800000.0,National
2025-03-18 15:40:05,SJC,SJC Jewelry 99%,93831683.1683,96831683.1683,National
2025-03-18 15:40:05,SJC,SJC Ring 1C,96600000.0,98100000.0,National
2025-03-19 16:30:05,SJC,SJC 1L,98000000.0,99500000.0,National
2025-03-19 16:30:05,SJC,SJC Ring 1C,97900000.0,99400000.0,National
2025-03-19 16:30:05,SJC,SJC Jewelry 18K,71482433.2433,74482433.2433,National
2025-03-19 16:30:05,SJC,SJC Jewelry 99%,95118811.8811,98118811.8811,National
2025-03-19 16:30:05,SJC,SJC Jewelry 24K,97900000.0,99100000.0,National
2025-03-20 14:30:05,SJC,SJC 1L,97800000.0,99800000.0,National
2025-03-20 14:30:05,SJC,SJC Jewelry 18K,71707455.7455,74707455.7455,National
2025-03-20 14:30:05,SJC,SJC Jewelry 24K,97700000.0,99400000.0,National
2025-03-20 14:30:05,SJC,SJC Jewelry 99%,95415841.5841,98415841.5841,National
2025-03-20 14:30:05,SJC,SJC Ring 1C,97700000.0,99700000.0,National
2025-03-21 15:00:05,SJC,SJC Jewelry 18K,69907275.7275,72907275.7275,National
2025-03-21 15:00:05,SJC,SJC 1L,94700000.0,97700000.0,National
2025-03-21 15:00:05,SJC,SJC Jewelry 24K,94600000.0,97000000.0,National
2025-03-21 15:00:05,SJC,SJC Ring 1C,94600000.0,97300000.0,National
2025-03-21 15:00:05,SJC,SJC Jewelry 99%,93039603.9603,96039603.9603,National
2025-03-22 08:30:05,SJC,SJC 1L,94400000.0,97400000.0,National
2025-03-22 08:30:05,SJC,SJC Jewelry 18K,69682253.2253,72682253.2253,National
2025-03-22 08:30:05,SJC,SJC Jewelry 24K,94300000.0,96700000.0,National
2025-03-22 08:30:05,SJC,SJC Jewelry 99%,92742574.2574,95742574.2574,National
2025-03-22 08:30:05,SJC,SJC Ring 1C,94300000.0,97000000.0,National
2025-03-24 15:30:05,SJC,SJC 1L,95100000.0,97600000.0,National
2025-03-24 15:30:05,SJC,SJC Jewelry 18K,69982283.2283,72982283.2283,National
2025-03-24 15:30:05,SJC,SJC Jewelry 24K,95000000.0,97100000.0,National
2025-03-24 15:30:05,SJC,SJC Jewelry 99%,93138613.8613,96138613.8613,National
2025-03-24 15:30:05,SJC,SJC Ring 1C,95000000.0,97400000.0,National
2025-03-25 16:00:05,SJC,SJC 1L,95900000.0,97900000.0,National
2025-03-25 16:00:05,SJC,SJC Jewelry 18K,70207305.7305,73207305.7305,National
2025-03-25 16:00:05,SJC,SJC Jewelry 24K,95800000.0,97400000.0,National
2025-03-25 16:00:05,SJC,SJC Jewelry 99%,93435643.5643,96435643.5643,National
2025-03-25 16:00:05,SJC,SJC Ring 1C,95800000.0,97700000.0,National
2025-03-26 15:00:05,SJC,SJC 1L,96700000.0,98400000.0,National
2025-03-26 15:00:05,SJC,SJC Jewelry 18K,70582343.2343,73582343.2343,National
2025-03-26 15:00:05,SJC,SJC Jewelry 24K,96600000.0,97900000.0,National
2025-03-26 15:00:05,SJC,SJC Jewelry 99%,93930693.0693,96930693.0693,National
2025-03-26 15:00:05,SJC,SJC Ring 1C,96600000.0,98200000.0,National
2025-03-27 15:30:05,SJC,SJC 1L,97400000.0,98900000.0,National
2025-03-27 15:30:05,SJC,SJC Ring 1C,97200000.0,98700000.0,National
